Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Horsepower,HP RPM,Torque,Torque RPM
7,0,2017,54120.15,5,1,56,7,0,1,1.198,1,3990.0,1680.0,1505.0,5.0,35.0,87.0,6000.0,109.0,4500
18,0,2014,46575.0,2,1,40,14,1,2,1.248,1,3995.0,1695.0,1555.0,5.0,42.0,74.0,4000.0,190.0,2000
8,0,2011,41607.0,5,1,39,8,0,2,1.197,1,3585.0,1595.0,1550.0,5.0,35.0,79.0,6000.0,112.7619,4000
29,0,2019,23287.5,5,1,41,12,0,2,1.197,1,3995.0,1745.0,1510.0,5.0,37.0,82.0,6000.0,113.0,4200
29,2,2018,42849.0,2,1,45,7,0,2,2.3930000000000002,2,4735.0,1830.0,1795.0,7.0,55.0,148.0,3400.0,343.0,1400
18,0,2017,45528.615,5,1,56,7,0,2,1.373,1,4490.0,1730.0,1485.0,5.0,43.0,91.0,6000.0,130.0,4000
1,3,2017,46575.0,2,0,12,14,1,2,1.995,0,4439.0,1821.0,1612.0,5.0,51.0,188.0,4000.0,400.0,1750
26,1,2017,34776.0,5,0,45,14,0,2,1.798,1,4670.0,1814.0,1476.0,5.0,50.0,177.0,5100.0,250.0,1250
22,0,2015,52785.0,2,1,45,14,0,2,1.461,1,4331.0,1822.0,1671.0,5.0,50.0,84.0,3750.0,200.0,1900
8,0,2017,12594.501,5,1,45,12,0,2,1.197,1,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000
24,0,2018,13997.961,5,1,6,7,0,2,0.999,1,3679.0,1579.0,1478.0,5.0,28.0,67.0,5500.0,91.0,4250
18,1,2019,19047.311999999998,5,0,6,2,0,2,1.462,1,4490.0,1730.0,1485.0,5.0,43.0,103.0,6000.0,138.0,4400
28,2,2019,12951.576,2,1,6,9,0,2,1.956,1,4598.0,1894.0,1706.0,5.0,50.0,138.0,3750.0,350.0,1750
30,1,2017,25719.957,5,0,6,7,0,2,1.197,1,3971.0,1682.0,1469.0,5.0,45.0,103.0,5000.0,175.0,1500
18,0,2016,7123.491,5,0,6,12,0,2,0.998,1,3695.0,1600.0,1560.0,5.0,35.0,67.0,6000.0,90.0,3500
18,0,2019,2225.043,5,1,6,7,0,2,0.796,1,3445.0,1515.0,1475.0,5.0,35.0,47.0,6000.0,69.0,3500
18,1,2018,13267.664999999999,5,0,6,7,0,2,1.197,1,3995.0,1745.0,1510.0,5.0,37.0,82.0,6000.0,113.0,4200
18,0,2020,19112.517,5,0,6,14,0,2,1.197,1,3655.0,1620.0,1675.0,5.0,32.0,82.0,6000.0,113.0,4200
8,0,2016,37337.625,5,1,15,13,0,2,1.591,1,4270.0,1780.0,1630.0,5.0,60.0,122.0,6400.0,154.0,4850
