brand,model_year,milage,fuel_type,ext_col,int_col,accident,price,horsepower,displacement,cylinders,transmission_type,gears
13,2013,51000.0,1,0,0,0,0,300.0,3.7,6.0,0,6.0
18,2021,34742.0,3,6,3,0,1,240.0,3.8,6.0,0,8.0
25,2022,22372.0,3,1,0,1,2,301.0,3.5,6.0,0,8.0
19,2015,88900.0,4,0,0,1,0,354.0,3.5,6.0,0,7.0
3,2021,9835.0,3,9,0,1,1,333.0,2.0,4.0,0,8.0
3,2017,84000.0,3,1,0,1,1,292.0,2.0,4.0,0,6.0
4,2001,242000.0,3,4,4,1,0,282.0,4.4,8.0,0,8.0
25,2021,23436.0,3,0,0,1,2,311.0,3.5,6.0,0,6.0
48,2020,34000.0,2,0,0,1,3,534.0,0.0,0.0,0,1.0
24,2021,27608.0,3,9,6,1,3,380.0,3.0,6.0,0,8.0
2,2019,22770.0,3,3,0,1,4,715.0,5.2,12.0,0,8.0
49,2021,12500.0,3,10,0,1,2,382.0,3.0,6.0,0,6.0
26,2022,18196.0,3,0,2,1,3,400.0,3.0,6.0,0,6.0
20,2020,15903.0,3,3,0,1,2,340.0,2.0,8.0,0,8.0
24,2013,79800.0,3,9,0,1,1,375.0,5.0,8.0,0,8.0
34,2021,1685.0,3,3,8,1,4,362.0,2.0,4.0,0,9.0
10,2013,61074.0,3,0,3,1,0,305.0,3.6,6.0,0,8.0
37,2003,74000.0,3,7,6,1,0,287.0,3.5,6.0,2,6.0
20,2018,35250.0,3,4,0,1,3,550.0,5.0,8.0,0,8.0
8,2000,133510.0,1,1,0,1,0,120.0,2.2,4.0,0,6.0
4,2020,25990.0,3,9,6,1,1,335.0,3.0,6.0,0,8.0
13,2023,2823.0,3,3,0,1,2,325.0,3.5,6.0,0,8.0
8,2021,52000.0,3,1,0,1,3,355.0,5.3,8.0,0,10.0
18,2022,11650.0,3,0,0,1,1,276.0,2.0,4.0,0,7.0
37,2016,96541.0,3,1,0,1,0,284.0,1.8,6.0,0,7.0
34,2021,17500.0,3,3,0,1,2,382.0,2.0,4.0,0,7.0
4,2015,69000.0,3,3,0,1,1,445.0,4.4,8.0,0,8.0
3,2017,81880.0,1,0,0,1,1,333.0,2.0,4.0,0,8.0
34,2018,28800.0,3,3,0,1,2,362.0,3.0,6.0,0,9.0
10,2006,300183.0,3,3,3,0,0,345.0,5.7,8.0,0,8.0
4,2020,35035.0,4,0,0,1,1,335.0,3.0,6.0,0,8.0
22,2011,171000.0,3,0,0,1,0,276.0,3.5,6.0,0,8.0
25,2016,118700.0,3,0,6,1,2,383.0,5.7,8.0,0,8.0
21,2017,119000.0,3,8,0,1,0,180.0,2.4,4.0,0,8.0
4,2018,44261.0,3,3,0,1,1,335.0,3.0,6.0,0,8.0
3,2012,125575.0,3,3,0,1,0,211.0,2.0,4.0,0,8.0
